RepGroup,Manufacturer,PO #,Order Date,Request Date,Ship Date,Cancel Date,Order Total,Customer Name,Address 1,Address 2,City,State/Province,Zip,Ship Customer Name,Ship Address 1,Ship Address 2,Ship City,Ship State/Province,Ship Zip
Sunshine Sales,Schleich,KN8432174,2021-12-31,2021-12-31,2021-12-31,,4577.999999999999,Upland Trains,1531 W 13th Street,Suite G,UPLAND,CA,91786,Upland Trains,1531 W 13th Street,Suite G,UPLAND,CA,91786
Sequence #,Item Number,Name,Description,Quantity,Unit Price,Unit Qty,Item Discount,UPC,Unit of measure,Size,Color,Style,Notes,Retailer Item Number,List Price,Item Status
29,16396,Golden Retriever puppy,Golden Retriever puppy,5,2.0,5,0.0,4005086163966,inch,,,,,,3.99,
30,41416,Saddle bronc riding with cowboy ORDER DEC 15,Saddle bronc riding with cowboy ORDER DEC 15,6,10.2,3,0.0,4005086414167,inch,,,,,,19.99,
31,41417,Barrel racing with cowgirl,Barrel racing with cowgirl,6,13.0,3,0.0,4005086414174,inch,,,,,,24.99,
32,41418,Team roping with cowboy,Team roping with cowboy,9,16.0,3,0.0,4005086414181,inch,,,,,,29.99,
86,41461,Dinosaur set with cave,Dinosaur set with cave,6,35.0,1,0.0,4055744023118,inch,,,,,,59.99,
87,42344,Riding centre with rider and horses ORDER DEC 15,Riding centre with rider and horses ORDER DEC 15,2,61.0,2,0.0,4055744005602,inch,,,,,,99.99,
80,42351,Quad bike with trailer and ranger,Quad bike with trailer and ranger,4,16.0,1,0.0,4055744039379,inch,,,,,,29.99,
88,42361,Foal with blanket,Foal with blanket,4,8.15,1,0.0,4059433254715,inch,,,,,,14.99,
89,42369,Horse Stall with Arab Horses & Groom ORDER DEC 15,Horse Stall with Arab Horses & Groom ORDER DEC 15,5,16.0,1,0.0,4055744013836,inch,,,,,,29.99,
33,42407,Large Farm House,Large Farm House,4,61.0,2,0.0,4055744021060,inch,,,,,,99.99,
34,42408,Adventure Tree House,Adventure Tree House,6,42.0,2,0.0,4055744021077,inch,,,,,,69.99,
35,42419,Western riding,Western riding,6,13.0,3,0.0,4055744020605,inch,,,,,,24.99,
36,42420,Rabbit hutch,Rabbit hutch,6,13.0,3,0.0,4055744020612,inch,,,,,,24.99,
37,42421,Chicken coop,Chicken coop,6,13.0,1,0.0,4055744020629,inch,,,,,,24.99,
38,42422,Miniature pig mother and piglets,Miniature pig mother and piglets,4,5.0,4,0.0,4059433309828,inch,,,,,,9.99,
39,42426,Birthday Picnic,Birthday Picnic,8,5.0,4,0.0,4059433312972,inch,,,,,,9.99,
90,42432,Horse Club Sarah’s baby animal care,Horse Club Sarah’s baby animal care,6,13.0,1,0.0,4059433250847,inch,,,,,,24.99,
91,42433,Horse Club Lisa’s tournament training,Horse Club Lisa’s tournament training,4,16.0,1,0.0,4055744021831,inch,,,,,,29.99,
92,42441,Horse Club Hannah's western riding set,Horse Club Hannah's western riding set,6,16.0,1,0.0,4055744030017,inch,,,,,,29.99,
93,42458,Horse Club Hannah’s guest horses with Ruby the dog,Horse Club Hannah’s guest horses with Ruby the dog,3,21.0,1,0.0,4055744014598,inch,,,,,,39.99,
81,42472,Mother wolf with pups,Mother wolf with pups,4,5.0,4,0.0,4059433296036,inch,,,,,,9.99,
82,42473,Grizzly bear mother with cub,Grizzly bear mother with cub,8,5.0,4,0.0,4059433296920,inch,,,,,,9.99,
40,42478,Walking with Labrador retriever,Walking with Labrador retriever,8,5.0,4,0.0,4059433310763,inch,,,,,,9.99,
41,42479,Shiba Inu mother and puppy,Shiba Inu mother and puppy,8,5.0,4,0.0,4059433311395,inch,,,,,,9.99,
42,42480,Puppy pen,Puppy pen,10,10.2,1,0.0,4055744029868,inch,,,,,,19.99,
43,42485,Horse stable,Horse stable,2,61.0,2,0.0,4055744029912,inch,,,,,,99.99,
44,42486,Vet visiting mare and foal,Vet visiting mare and foal,5,13.25,1,0.0,4055744029929,inch,,,,,,24.99,
45,42487,Corral Fence,Corral Fence,3,6.7,1,0.0,4055744029936,inch,,,,,,12.99,
46,42500,Rabbit and guinea pig hutch,Rabbit and guinea pig hutch,10,10.2,1,0.0,4059433040820,inch,,,,,,19.99,
47,42501,Playtime for cute cats,Playtime for cute cats,10,10.2,1,0.0,4059433027951,inch,,,,,,19.99,
48,42503,Vet visit to the farm,Vet visit to the farm,4,28.0,1,0.0,4059433047706,inch,,,,,,49.99,
83,42506,Tortoise home,Tortoise home,8,5.0,4,0.0,4059433292496,inch,,,,,,9.99,
94,42514,Horse Club Hannah & Cayenne,Horse Club Hannah & Cayenne,6,10.2,3,0.0,4055744036132,inch,,,,,,19.99,
95,42515,Horse Club Sofia & Blossom,Horse Club Sofia & Blossom,6,10.2,3,0.0,4055744036149,inch,,,,,,19.99,
96,42516,Horse Club Lisa & Storm ORDER DEC 15,Horse Club Lisa & Storm ORDER DEC 15,6,10.2,3,0.0,4055744036156,inch,,,,,,19.99,
97,42517,Horse Club Sarah & Mystery,Horse Club Sarah & Mystery,6,10.2,3,0.0,4055744036163,inch,,,,,,19.99,
98,42518,Horse Club Mia & Spotty,Horse Club Mia & Spotty,4,10.2,1,0.0,4055744036194,inch,,,,,,19.99,
99,42519,Rider café,Rider café,3,35.0,1,0.0,4055744036187,inch,,,,,,59.99,
49,42528,Sunny Day Mobile Farm Stand,Sunny Day Mobile Farm Stand,10,20.0,1,0.0,4059433383484,inch,,,,,,34.99,
84,42531,Polar Playground,Polar Playground,4,8.15,1,0.0,4059433277714,inch,,,,,,14.99,
100,42534,Playful Foal,Playful Foal,8,5.0,4,0.0,4059433340869,inch,,,,,,9.99,
50,42536,Puppy Agility Training,Puppy Agility Training,6,10.2,1,0.0,4059433375786,inch,,,,,,19.99,
51,42543,Puppy Wagon Ride,Puppy Wagon Ride,8,5.0,4,0.0,4059433356846,inch,,,,,,9.99,
85,42544,Alpaca Set,Alpaca Set,4,5.0,4,0.0,4059433289533,inch,,,,,,9.99,
52,72102,Large Red Barn with Animals & Accessories,Large Red Barn with Animals & Accessories,2,60.0,2,0.0,4055744005909,inch,,,,,,99.99,
53,72120,Cowboy with bull,Cowboy with bull,6,10.2,3,0.0,4055744017926,inch,,,,,,19.99,
